,filename,snr,time,mean_clean,mean_noise
19,p232_023,1.971166432,9.768875,0.004428857,0.002813034
17,p232_021,11.91091895,8.5095,0.005852697,0.000376933
413,p257_023,17.08836317,8.214375,0.003698186,7.23E-05
2,p232_003,6.714614034,7.184875,0.004966877,0.001058332
15,p232_019,2.047736645,6.7355625,0.003932876,0.00245435
8,p232_011,16.80586934,6.5381875,0.00689204,0.000143801
3,p232_005,1.852522343,6.246625,0.00658219,0.004296533
18,p232_022,7.00611949,5.794,0.003078206,0.000613318
399,p257_008,7.106649876,5.583125,0.005522596,0.001075173
13,p232_016,11.98942661,5.569375,0.005467759,0.000345833
395,p257_003,7.006115317,5.5214375,0.004408066,0.000878287
20,p232_024,16.8006444,5.5204375,0.009461084,0.000197641
410,p257_019,12.04869509,5.5203125,0.001506788,9.40E-05
407,p257_016,6.989552379,5.34825,0.001747399,0.000349492
12,p232_015,16.94815636,5.3199375,0.0066464,0.000134206
402,p257_011,11.95235729,5.1079375,0.002661139,0.000169759
4,p232_006,16.85672045,5.1035,0.00414508,8.55E-05
412,p257_022,1.889490783,4.8556875,0.002812525,0.001820319
406,p257_015,11.88199639,4.6928125,0.002835201,0.000183816
414,p257_024,11.88531876,4.68525,0.003812345,0.000246979
11,p232_014,1.991353333,4.616875,0.004152133,0.00262504
409,p257_018,16.83425665,4.418625,0.002022326,4.19E-05
9,p232_012,11.89624429,4.3356875,0.003456968,0.000223394
491,p257_101,6.412626505,4.30475,0.003243555,0.000740898
218,p232_232,6.36253655,4.28,0.003867991,0.000893782
397,p257_006,16.89305305,4.2745,0.001741647,3.56E-05
612,p257_223,1.668251306,4.2505625,0.005541243,0.003773828
588,p257_199,-3.088442981,4.22525,0.002988336,0.006085185
6,p232_009,6.784259081,4.157625,0.008374691,0.001756074
386,p232_409,1.317227185,4.09,0.005548812,0.004097107
220,p232_235,16.72989368,3.9588125,0.007063233,0.000149973
647,p257_258,6.576641202,3.9575625,0.003899404,0.000857697
5,p232_007,11.81468606,3.9559375,0.005450679,0.000358907
10,p232_013,6.796967983,3.9434375,0.006929376,0.001448763
85,p232_090,11.3952899,3.943125,0.002345992,0.000170136
151,p232_160,2.453470826,3.9425,0.006483349,0.003685126
99,p232_104,1.269626468,3.92,0.007167584,0.005350694
290,p232_307,7.130980492,3.912625,0.002935429,0.000568295
244,p232_259,16.56136036,3.908,0.003256791,7.19E-05
575,p257_186,6.71022296,3.901375,0.002037924,0.000434676
53,p232_058,11.73345566,3.898625,0.005048995,0.000338734
326,p232_343,6.192973852,3.881125,0.005240844,0.001259227
141,p232_148,11.60529733,3.8730625,0.00420949,0.000290871
32,p232_037,16.56410098,3.856,0.003683205,8.12E-05
25,p232_030,11.7184031,3.8489375,0.006845496,0.000460855
177,p232_188,11.24800205,3.83,0.007843678,0.000588464
185,p232_197,11.3774848,3.782125,0.006348629,0.000462308
22,p232_027,6.702523828,3.7711875,0.007255889,0.00155038
531,p257_142,6.468946934,3.7466875,0.004916921,0.00110866
621,p257_232,16.81770325,3.7451875,0.002844012,5.92E-05
449,p257_059,16.69279456,3.7281875,0.002829384,6.06E-05
116,p232_123,16.68763876,3.707125,0.005413853,0.000116076
49,p232_054,11.70812011,3.70625,0.005673357,0.00038285
461,p257_071,16.70714974,3.7060625,0.002403585,5.13E-05
405,p257_014,16.51521206,3.6925,0.003478256,7.76E-05
287,p232_303,1.623177528,3.672875,0.002702503,0.001859724
207,p232_220,1.667068154,3.6615,0.002187146,0.001489947
668,p257_279,1.480923891,3.6466875,0.001962505,0.001395463
396,p257_004,1.414142996,3.6314375,0.002531124,0.001827675
16,p232_020,16.2353611,3.6166875,0.004387962,0.000104406
747,p257_358,6.633372307,3.5960625,0.004437501,0.000963388
266,p232_282,6.671637893,3.5884375,0.005172209,0.001113044
799,p257_410,6.5735358,3.5811875,0.004882243,0.001074647
90,p232_095,7.470113635,3.5736875,0.007097431,0.001270837
122,p232_129,6.648074389,3.5615,0.006140146,0.00132853
625,p257_236,16.4070487,3.5586875,0.00387948,8.87E-05
359,p232_378,1.542910337,3.551,0.005468656,0.003833448
98,p232_103,6.650121212,3.5469375,0.005289568,0.001143953
596,p257_207,1.588540226,3.5298125,0.003233281,0.002242794
508,p257_118,1.663125157,3.5286875,0.002469586,0.001683882
713,p257_324,16.64136887,3.5205625,0.002581787,5.59E-05
768,p257_379,1.296790391,3.5185625,0.004800466,0.003561266
188,p232_200,16.37118459,3.51,0.004732116,0.000109128
104,p232_109,16.59904838,3.49175,0.004259852,9.32E-05
27,p232_032,1.74068138,3.4900625,0.00802807,0.005377037
278,p232_294,6.516733766,3.4866875,0.004492572,0.001001894
470,p257_080,11.54724956,3.48425,0.004086159,0.000286148
524,p257_135,1.58028096,3.480875,0.001969455,0.00136873
111,p232_117,1.718744338,3.4729375,0.006322711,0.004256267
623,p257_234,6.973115802,3.46375,0.003531672,0.000709037
651,p257_262,6.914691925,3.4579375,0.004366987,0.000888613
206,p232_219,6.618862152,3.4576875,0.004632599,0.00100911
403,p257_012,6.769036651,3.457625,0.002990288,0.00062923
400,p257_009,1.709304601,3.452625,0.005380566,0.003629924
485,p257_095,16.54929161,3.4439375,0.002433061,5.39E-05
168,p232_179,16.63920045,3.441125,0.00651156,0.000141177
772,p257_383,1.610687375,3.437125,0.002836497,0.001957553
813,p257_424,16.58743501,3.435375,0.002962863,6.50E-05
182,p232_194,6.633181572,3.431,0.005970488,0.001296259
411,p257_020,6.382085085,3.4194375,0.003297842,0.000758615
553,p257_164,16.53873324,3.41725,0.002396478,5.32E-05
24,p232_029,16.49929643,3.4153125,0.004892133,0.000109539
819,p257_430,6.646572351,3.41525,0.002567483,0.000555713
277,p232_293,11.6090548,3.4145,0.005671081,0.000391526
192,p232_204,16.53414845,3.4063125,0.00561553,0.000124731
398,p257_007,11.67361856,3.3976875,0.003692885,0.000251191
