,under_2,between,over_10
0,99946.0,114958.0,27861.0
1,44230.0,66522.0,43444.0
2,73870.0,63095.0,81656.0
3,156302.0,46229.0,63295.0
4,33040.0,107769.0,104611.0
5,55841.0,92704.0,69371.0
6,45494.0,60339.0,85119.0
7,30361.0,36645.0,89110.0
8,22133.0,50536.0,57867.0
9,29116.0,31040.0,136152.0
10,35184.0,31365.0,88327.0
11,28842.0,22655.0,30011.0
12,37440.0,30824.0,54645.0
13,32164.0,23620.0,61583.0
14,40357.0,24412.0,23167.0
15,31799.0,21127.0,23553.0
16,30830.0,36220.0,61696.0
17,33280.0,41875.0,33449.0
18,22250.0,41418.0,32119.0
19,46778.0,37545.0,40217.0
20,31488.0,38310.0,19801.0
21,26848.0,26582.0,47058.0
22,25600.0,31651.0,27734.0
23,62720.0,25001.0,26304.0
24,26905.0,57179.0,59300.0
25,21882.0,44236.0,35772.0
26,55567.0,56751.0,62378.0
27,49038.0,42278.0,51978.0
28,33823.0,26305.0,47424.0
29,39435.0,31733.0,24376.0
30,28857.0,23410.0,52433.0
31,25176.0,25728.0,42702.0
32,43425.0,56984.0,40702.0
33,32652.0,39034.0,30533.0
34,43629.0,25907.0,35355.0
35,40813.0,27775.0,27876.0
36,39502.0,42400.0,36170.0
37,33483.0,33685.0,30163.0
38,34475.0,37452.0,24950.0
39,32137.0,30008.0,33077.0
40,40193.0,63080.0,31495.0
41,30607.0,34614.0,35736.0
42,31228.0,54207.0,63090.0
43,37551.0,34326.0,35540.0
44,38375.0,35522.0,45055.0
45,32211.0,29193.0,43274.0
46,25365.0,45692.0,38155.0
47,22503.0,40852.0,31139.0
48,48017.0,54896.0,30304.0
49,58584.0,37310.0,28107.0
50,26764.0,48402.0,38208.0
51,29999.0,43287.0,55868.0
52,25558.0,22990.0,32555.0
53,37628.0,24460.0,51137.0
54,27571.0,36518.0,43918.0
55,40633.0,55323.0,50151.0
56,45235.0,33108.0,50687.0
57,45440.0,26575.0,59314.0
58,44149.0,68480.0,23855.0
59,46853.0,45145.0,31585.0
60,53382.0,24314.0,47388.0
61,47738.0,34203.0,48865.0
62,49178.0,46165.0,29649.0
63,37074.0,48446.0,31740.0
64,28820.0,27987.0,27811.0
65,34491.0,51026.0,34971.0
66,36578.0,37371.0,25384.0
67,49235.0,48239.0,28384.0
68,27110.0,48181.0,36482.0
69,58766.0,39485.0,43604.0
70,33193.0,29510.0,61969.0
71,44330.0,57415.0,29856.0
72,26107.0,36024.0,30904.0
73,31701.0,29971.0,32909.0
74,40951.0,55787.0,42913.0
75,42486.0,25605.0,43550.0
76,34309.0,27163.0,25539.0
77,46629.0,62602.0,27984.0
78,23058.0,32372.0,42927.0
79,25305.0,24622.0,32227.0
80,42536.0,39552.0,32317.0
81,38623.0,33957.0,50016.0
82,35453.0,38122.0,44324.0
83,30964.0,36650.0,55058.0
84,35569.0,33467.0,51993.0
85,52143.0,31445.0,34464.0
86,52039.0,62098.0,34149.0
87,56816.0,43924.0,21994.0
88,30370.0,29458.0,61280.0
89,35896.0,47402.0,30651.0
90,29483.0,23561.0,38684.0
91,50978.0,43725.0,35680.0
92,35861.0,39540.0,60514.0
93,23809.0,31804.0,56160.0
94,65440.0,53940.0,43231.0
95,27833.0,47469.0,54501.0
96,44867.0,32568.0,29445.0
97,58103.0,48111.0,21586.0
98,55242.0,33671.0,37970.0
99,50211.0,52421.0,30900.0
100,45937.0,47616.0,24618.0
101,77691.0,28484.0,34212.0
102,28143.0,40677.0,53078.0
103,46249.0,51755.0,40211.0
104,30567.0,88343.0,37013.0
105,29438.0,89330.0,51938.0
106,30744.0,55322.0,30222.0
107,34548.0,85572.0,35051.0
108,30854.0,54711.0,63341.0
109,38927.0,43868.0,25086.0
110,43360.0,34001.0,29782.0
111,38232.0,28151.0,52839.0
112,27373.0,23282.0,30587.0
113,50755.0,52304.0,52597.0
114,47444.0,27385.0,27859.0
115,25195.0,26000.0,53606.0
116,30176.0,24662.0,53396.0
117,36160.0,50383.0,47520.0
118,32960.0,40618.0,44025.0
119,41479.0,46651.0,32395.0
120,41113.0,33086.0,62528.0
121,25989.0,41421.0,45705.0
122,56459.0,31718.0,50604.0
123,23643.0,44631.0,30096.0
124,37618.0,39337.0,34199.0
125,50736.0,33920.0,47328.0
126,55694.0,31200.0,33259.0
127,28227.0,40418.0,40864.0
128,40330.0,46238.0,41994.0
129,48549.0,44800.0,48727.0
130,37695.0,26418.0,49073.0
131,33198.0,43388.0,41854.0
132,28203.0,68876.0,34910.0
133,35939.0,31468.0,26846.0
134,43346.0,33835.0,52324.0
135,32789.0,25527.0,39841.0
136,53865.0,27188.0,54632.0
137,31048.0,35766.0,34752.0
138,25835.0,52812.0,34621.0
139,26795.0,30560.0,24508.0
140,47762.0,40667.0,38101.0
141,30559.0,39616.0,23273.0
142,67604.0,31418.0,28742.0
143,32634.0,59947.0,39622.0
144,56477.0,32783.0,23233.0
145,30783.0,34409.0,34018.0
146,31245.0,53123.0,28477.0
147,68009.0,22972.0,38477.0
148,28064.0,48248.0,38254.0
149,50539.0,36414.0,40921.0
150,36050.0,33176.0,42712.0
151,31953.0,37778.0,28114.0
152,34752.0,52868.0,26411.0
153,49439.0,36648.0,31848.0
154,48788.0,62422.0,35411.0
155,38906.0,35777.0,31927.0
156,23083.0,42128.0,49287.0
157,32795.0,48963.0,45675.0
158,28126.0,33872.0,36971.0
159,46633.0,48000.0,41600.0
160,49712.0,47460.0,41965.0
161,58347.0,40201.0,31245.0
162,45141.0,27175.0,52713.0
163,30277.0,41700.0,44320.0
164,27200.0,36294.0,29922.0
165,27162.0,48521.0,26966.0
166,48282.0,37136.0,49722.0
167,32127.0,31747.0,27824.0
168,50121.0,52196.0,46001.0
169,40928.0,55420.0,53221.0
170,26691.0,33825.0,31626.0
171,47266.0,49037.0,29237.0
172,27808.0,42705.0,25777.0
173,25474.0,41180.0,29582.0
174,33224.0,34723.0,46693.0
175,25316.0,63321.0,40833.0
176,52382.0,55327.0,42549.0
177,47743.0,40648.0,45160.0
178,48893.0,40818.0,26794.0
179,45042.0,29300.0,28156.0
180,31232.0,50463.0,48054.0
181,40212.0,22624.0,40513.0
182,33230.0,30927.0,29153.0
183,51910.0,39809.0,51536.0
184,26230.0,37455.0,29555.0
185,56297.0,31963.0,48959.0
186,54994.0,41733.0,42923.0
187,22940.0,36879.0,34413.0
188,36918.0,26660.0,39713.0
189,37548.0,27367.0,33810.0
190,44559.0,25068.0,53607.0
191,33952.0,52058.0,36310.0
192,40298.0,38080.0,35513.0
193,50735.0,29096.0,44418.0
194,31637.0,27787.0,68392.0
195,36857.0,42380.0,54363.0
196,31244.0,40305.0,37915.0
197,36770.0,33754.0,81727.0
198,30793.0,42392.0,59080.0
199,33342.0,31960.0,75085.0
200,,35569.0,70698.0
201,,44415.0,88325.0
202,,32813.0,131430.0
203,,57537.0,74964.0
204,,23188.0,48281.0
205,,30152.0,29389.0
206,,53843.0,21020.0
207,,35463.0,48410.0
208,,41300.0,52484.0
209,,46319.0,28575.0
210,,27520.0,42585.0
211,,30089.0,42696.0
212,,34866.0,33238.0
213,,24596.0,28702.0
214,,46124.0,43104.0
215,,25282.0,26920.0
216,,48022.0,46461.0
217,,44803.0,32480.0
218,,57299.0,39949.0
219,,29551.0,23529.0
220,,42995.0,59651.0
221,,49089.0,26240.0
222,,25981.0,32872.0
223,,22249.0,32990.0
224,,54644.0,28066.0
225,,38593.0,59297.0
226,,35360.0,29519.0
227,,,31666.0
228,,,27585.0
229,,,45140.0
230,,,55748.0
231,,,35611.0
232,,,46131.0
233,,,41046.0
234,,,52816.0
235,,,30619.0
236,,,55103.0
237,,,41120.0
238,,,43491.0
239,,,23434.0
240,,,31983.0
241,,,33828.0
242,,,30634.0
243,,,35721.0
244,,,38915.0
245,,,34141.0
246,,,35532.0
247,,,52979.0
248,,,31458.0
249,,,22600.0
250,,,35465.0
251,,,28006.0
252,,,48438.0
253,,,42378.0
254,,,24011.0
255,,,50128.0
256,,,35389.0
257,,,31503.0
258,,,30080.0
259,,,33746.0
260,,,44790.0
261,,,53930.0
262,,,29615.0
263,,,39628.0
264,,,25117.0
265,,,34200.0
266,,,37192.0
267,,,49671.0
268,,,40316.0
269,,,34769.0
270,,,54676.0
271,,,27725.0
272,,,50514.0
273,,,40423.0
274,,,37806.0
275,,,37697.0
276,,,31408.0
277,,,42422.0
278,,,31200.0
279,,,35141.0
280,,,50362.0
281,,,35957.0
282,,,49133.0
283,,,35754.0
284,,,26011.0
285,,,40942.0
286,,,50082.0
287,,,26632.0
288,,,36904.0
289,,,25427.0
290,,,36000.0
291,,,28025.0
292,,,29099.0
293,,,41252.0
294,,,50212.0
295,,,43769.0
296,,,29546.0
297,,,32472.0
298,,,49196.0
299,,,36445.0
300,,,25964.0
301,,,35067.0
302,,,59923.0
303,,,38298.0
304,,,56939.0
305,,,53371.0
306,,,46874.0
307,,,25792.0
308,,,41723.0
309,,,45286.0
310,,,50226.0
311,,,25646.0
312,,,33726.0
313,,,44988.0
314,,,50740.0
315,,,31575.0
316,,,43360.0
317,,,42785.0
318,,,22555.0
319,,,43822.0
320,,,40818.0
321,,,27752.0
322,,,31454.0
323,,,33973.0
324,,,36910.0
325,,,41935.0
326,,,39434.0
327,,,51763.0
328,,,23214.0
329,,,45280.0
330,,,46880.0
331,,,46833.0
332,,,37588.0
333,,,48904.0
334,,,53483.0
335,,,26651.0
336,,,41692.0
337,,,27882.0
338,,,30284.0
339,,,37202.0
340,,,27447.0
341,,,39019.0
342,,,29369.0
343,,,28001.0
344,,,45181.0
345,,,31285.0
346,,,56329.0
347,,,32537.0
348,,,23227.0
349,,,25184.0
350,,,45350.0
351,,,36970.0
352,,,51068.0
353,,,29635.0
354,,,38503.0
355,,,30380.0
356,,,46966.0
357,,,32677.0
358,,,42046.0
359,,,33830.0
360,,,26258.0
361,,,34995.0
362,,,34346.0
363,,,45131.0
364,,,50954.0
365,,,33585.0
366,,,33574.0
367,,,36553.0
368,,,32160.0
369,,,22611.0
370,,,36320.0
371,,,43026.0
372,,,35543.0
373,,,48595.0
374,,,44480.0
375,,,35436.0
376,,,26937.0
377,,,53758.0
378,,,38992.0
379,,,37569.0
380,,,27582.0
381,,,30076.0
382,,,30473.0
383,,,28384.0
384,,,38560.0
385,,,32843.0
386,,,38075.0
387,,,30109.0
388,,,30505.0
389,,,32574.0
390,,,34918.0
391,,,26572.0
392,,,25780.0
393,,,25369.0
394,,,54966.0
395,,,38873.0
396,,,36976.0
